id,path,kind,dest,args,source
GFX_system_KerPromot,media\\system\\KerPromot.png,single,,"0xe,1,0xe",secondary
GFX_player_PauseMenu,media\\player\\PauseMenu.png,single,,"0x1e,1,0x1e",secondary
GFX_stage_TutorialPanel,media\\stage\\TutorialPanel.png,single,,"3,3,1",secondary
GFX_player_Unlock,media\\player\\Unlock.png,single,,"9,1,9",secondary
GFX_gallery_NoticeText2,media\\gallery\\NoticeText2.png,single,,"0x14,1,0x14",secondary
GFX_gallery_NoticeText3,media\\gallery\\NoticeText3.png,single,,"0x32,1,0x32",secondary
GFX_system_TitleMenu2,media\\system\\TitleMenu2.png,single,,"9,1,9",secondary
GFX_system_MenuTitle,media\\system\\MenuTitle.png,single,,"0xd,1,0xd",secondary
GFX_system_EquipMenu,media\\system\\EquipMenu.png,single,,"0x1e,6,5",secondary
GFX_system_MapMenu,media\\system\\MapMenu.png,single,,"0xe,1,0xe",secondary
GFX_system_MapMenu2,media\\system\\MapMenu2.png,single,,"0x14,1,0x14",secondary
GFX_system_Manual_eng,media\\system\\Manual_eng.png,single,,"0xb,1,0xb",secondary
GFX_system_ManualMenu_eng,media\\system\\ManualMenu_eng.png,single,,"0xc,1,0xc",secondary
GFX_system_DifficultyTips_eng,media\\system\\DifficultyTips_eng.png,single,,"6,1,6",secondary
GFX_system_KerPromot_eng,media\\system\\KerPromot_eng.png,single,,"0xe,1,0xe",secondary
GFX_player_PauseMenu_eng,media\\player\\PauseMenu_eng.png,single,,"0x1e,1,0x1e",secondary
GFX_stage_TutorialPanel_eng,media\\stage\\TutorialPanel_eng.png,single,,"3,3,1",secondary
GFX_player_Unlock_eng,media\\player\\Unlock_eng.png,single,,"9,1,9",secondary
GFX_gallery_NoticeText2_eng,media\\gallery\\NoticeText2_eng.png,single,,"0x14,1,0x14",secondary
GFX_gallery_NoticeText3_eng,media\\gallery\\NoticeText3_eng.png,single,,"0x32,1,0x32",secondary
GFX_system_Manual_ch1,media\\system\\Manual_ch1.png,single,,"0xb,1,0xb",secondary
GFX_system_ManualMenu_ch1,media\\system\\ManualMenu_ch1.png,single,,"0xc,1,0xc",secondary
GFX_system_DifficultyTips_ch1,media\\system\\DifficultyTips_ch1.png,single,,"6,1,6",secondary
GFX_system_KerPromot_ch1,media\\system\\KerPromot_ch1.png,single,,"0xe,1,0xe",secondary
GFX_player_PauseMenu_ch1,media\\player\\PauseMenu_ch1.png,single,,"0x1e,1,0x1e",secondary
GFX_stage_TutorialPanel_ch1,media\\stage\\TutorialPanel_ch1.png,single,,"3,3,1",secondary
GFX_player_Unlock_ch1,media\\player\\Unlock_ch1.png,single,,"9,1,9",secondary
GFX_gallery_NoticeText2_ch1,media\\gallery\\NoticeText2_ch1.png,single,,"0x14,1,0x14",secondary
