address	raw_le	float32	int32	double64	int64
14053b038	00509b4500409c45	4970.0000000000000	1167806464	2.1857382028674460e+27	5015954454895874048
14053b03c	00409c45333333bf	5000.0000000000000	1167867904	-0.00029296876674411720	-4669332093348855808
14053b040	333333bf000080bf	-0.69999998807907100	-1087163597	-0.0078125055646523830	-4647714812238548173
14053b044	000080bf7b14ae47	-1.0000000000000000	-1082130432	1.9991597859646272e+37	5165088344366907392
14053b048	7b14ae47e17aa4bf	89128.960937500000	1202590843	-0.040000000000000000	-4637446608295947141
14053b04c	e17aa4bf9a999999	-1.2849999666213990	-1079739679	-2.3534389794772864e-185	-7378697624550606111
14053b050	9a9999999999a9bf	-1.5881868392106856e-23	-1717986918	-0.050000000000000000	-4636005456415188582
14053b054	9999a9bf9a999999	-1.3249999284744263	-1079404135	-2.3534389795868768e-185	-7378697624550270567
14053b058	9a9999999999b9bf	-1.5881868392106856e-23	-1717986918	-0.10000000000000000	-4631501856787818086
14053b05c	9999b9bf0000c0bf	-1.4499999284744263	-1078355559	-0.12500008927891030	-4629700413720258151
14053b060	0000c0bf00000000	-1.5000000000000000	-1077936128	1.5894245817000000e-314	3217031168
14053b064	000000009a999999	0.0000000000000000	0	-2.3534379293677286e-185	-7378697627765833728
14053b068	9a9999999999c9bf	-1.5881868392106856e-23	-1717986918	-0.20000000000000000	-4626998257160447590
14053b06c	9999c9bf33333333	-1.5749999284744263	-1077306983	4.6672634953803080e-62	3689348817100577177
