offset_hex,exe_path,re_relative,exists,actual_path
0x536198,media\gallery\GalleryFrame.png,gallery\GalleryFrame.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/GalleryFrame.png
0x5361b8,media\gallery\EnemyListWindow.png,gallery\EnemyListWindow.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/EnemyListWindow.png
0x5361e0,media\system\DemoLogo.png,system\DemoLogo.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DemoLogo.png
0x536200,media\system\BetaLogo.png,system\BetaLogo.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/BetaLogo.png
0x536220,media\system\DemoEnd.png,system\DemoEnd.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DemoEnd.png
0x536240,media\system\TitleMenu.png,system\TitleMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TitleMenu.png
0x536260,media\system\Stand.png,system\Stand.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Stand.png
0x536278,media\system\TextBox.png,system\TextBox.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TextBox.png
0x536298,media\system\TextIcon.png,system\TextIcon.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TextIcon.png
0x5362b8,media\system\StageFrame.png,system\StageFrame.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/StageFrame.png
0x5362d8,media\system\StageFrame2.png,system\StageFrame2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/StageFrame2.png
0x5362f8,media\system\ConfigMenu.png,system\ConfigMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/ConfigMenu.png
0x536318,media\system\ConfigMenu2.png,system\ConfigMenu2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/ConfigMenu2.png
0x536338,media\system\KeyConfigMenu.png,system\KeyConfigMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/KeyConfigMenu.png
0x536358,media\system\ConfigNumber.png,system\ConfigNumber.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/ConfigNumber.png
0x536378,media\system\PracticeMenu.png,system\PracticeMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/PracticeMenu.png
0x536398,media\system\RankingNotice.png,system\RankingNotice.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/RankingNotice.png
0x5363b8,media\system\KerPromotButton.png,system\KerPromotButton.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/KerPromotButton.png
0x5363e0,media\system\KerboardPromot.png,system\KerboardPromot.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/KerboardPromot.png
0x536400,media\player\Player.png,player\Player.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/Player.png
0x536418,media\player\Item.png,player\Item.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/Item.png
0x536430,media\player\PlayerFrame.png,player\PlayerFrame.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/PlayerFrame.png
0x536450,media\player\State.png,player\State.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/State.png
0x536468,media\player\PauseBack.png,player\PauseBack.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/PauseBack.png
0x536488,media\player\PauseCount.png,player\PauseCount.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/PauseCount.png
0x5364a8,media\player\DataWindow2.png,player\DataWindow2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/DataWindow2.png
0x5364c8,media\effect\Effect_s.png,effect\Effect_s.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/effect/Effect_s.png
0x5364e8,media\effect\Effect_m.png,effect\Effect_m.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/effect/Effect_m.png
0x536508,media\effect\Effect_l.png,effect\Effect_l.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/effect/Effect_l.png
0x536528,media\system\Num_s.png,system\Num_s.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Num_s.png
0x536540,media\system\Num_m.png,system\Num_m.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Num_m.png
0x536558,media\system\Num_l.png,system\Num_l.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Num_l.png
0x536570,media\player\DreamGauge.png,player\DreamGauge.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/DreamGauge.png
0x536590,media\stage\TutorialButton.png,stage\TutorialButton.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/TutorialButton.png
0x5365b0,media\stage\StageBack1.png,stage\StageBack1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/StageBack1.png
0x5365d0,media\stage\StageBack1b.png,stage\StageBack1b.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/StageBack1b.png
0x5365f0,media\stage\StageBack1c.png,stage\StageBack1c.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/StageBack1c.png
0x536610,media\stage\StageBack1d.png,stage\StageBack1d.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/StageBack1d.png
0x536630,media\stage\StageBack2.png,stage\StageBack2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/StageBack2.png
0x536650,media\stage\Enemy_s.png,stage\Enemy_s.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Enemy_s.png
0x536668,media\stage\Enemy_m.png,stage\Enemy_m.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Enemy_m.png
0x536680,media\stage\Enemy_l.png,stage\Enemy_l.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Enemy_l.png
0x536698,media\stage\Enemy_xl.png,stage\Enemy_xl.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Enemy_xl.png
0x5366b8,media\stage\EnemyGauge1.png,stage\EnemyGauge1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/EnemyGauge1.png
0x5366d8,media\stage\Boss.png,stage\Boss.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Boss.png
0x5366f0,media\stage\BossGauge.png,stage\BossGauge.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/BossGauge.png
0x536710,media\stage\BossName.png,stage\BossName.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/BossName.png
0x536730,media\stage\Bullet.png,stage\Bullet.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Bullet.png
0x536748,media\system\Opening.png,system\Opening.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Opening.png
0x536768,media\player\Result.png,player\Result.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/Result.png
0x536780,media\player\StageClear.png,player\StageClear.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/StageClear.png
0x5367a0,media\system\Ending.png,system\Ending.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Ending.png
0x5367b8,media\system\Credit.png,system\Credit.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Credit.png
0x5367d0,media\gallery\NoticeText1.png,gallery\NoticeText1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText1.png
0x5367f0,media\gallery\Achievement.png,gallery\Achievement.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/Achievement.png
0x536810,media\gallery\EnemyList.png,gallery\EnemyList.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/EnemyList.png
