offset_hex,exe_path,re_relative,exists,actual_path
0x536c00,media\se\Shothit.wav,se\Shothit.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Shothit.wav
0x536c18,media\se\Shothit2.wav,se\Shothit2.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Shothit2.wav
0x536c30,media\se\Bomb1.wav,se\Bomb1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb1.wav
0x536c48,media\se\Bomb2.wav,se\Bomb2.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb2.wav
0x536c60,media\se\Bomb3.wav,se\Bomb3.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb3.wav
0x536c78,media\se\Bomb4.wav,se\Bomb4.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb4.wav
0x536c90,media\se\Bomb5.wav,se\Bomb5.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb5.wav
0x536ca8,media\se\Bomb6.wav,se\Bomb6.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb6.wav
0x536cc0,media\se\Bomb7.wav,se\Bomb7.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb7.wav
0x536cd8,media\se\Bomb8.wav,se\Bomb8.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bomb8.wav
0x536cf0,media\se\Item1.wav,se\Item1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Item1.wav
0x536d08,media\se\Item2.wav,se\Item2.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Item2.wav
0x536d20,media\se\Item3.wav,se\Item3.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Item3.wav
0x536d38,media\se\Guard.wav,se\Guard.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Guard.wav
