address	raw_le	float32	int32	double64	int64
14053a278	0000000000003440	0.0000000000000000	0	20.000000000000000	4626322717216342016
14053a2b0	0000000000003940	0.0000000000000000	0	25.000000000000000	4627730092099895296
14053a2d8	0000000000003e40	0.0000000000000000	0	30.000000000000000	4629137466983448576
14053a340	0000000000004440	0.0000000000000000	0	40.000000000000000	4630826316843712512
14053a380	0000000000004940	0.0000000000000000	0	50.000000000000000	4632233691727265792
14053a3a0	0000000000004e40	0.0000000000000000	0	60.000000000000000	4633641066610819072
14053ac58	0000a0410000c041	20.000000000000000	1101004800	536871043.25000000	4737786809094766592
14053ac80	0000f04100000000	30.000000000000000	1106247680	5.4655897450000000e-315	1106247680
14053acb0	0000344200004042	45.000000000000000	1110704128	137438987368.00000	4773815606123429888
14053accc	0000704200007842	60.000000000000000	1114636288	1649267713792.0000	4789578204823158784
