address	raw_le	float32	int32	double64	int64
140539cdc	8fc2753dec51b83d	0.059999998658895490	1031127695	2.2118921140209037e-11	4447394707113624207
140539d28	000000000000003f	0.0000000000000000	0	3.0517578125000000e-05	4539628424389459968
140539d90	7b14ae47e17a743f	89128.960937500000	1202590843	0.0050000000000000000	4572414629676717179
140539da8	0000803f00000000	1.0000000000000000	1065353216	5.2635442470000000e-315	1065353216
140539dc8	7b14ae47e17a843f	89128.960937500000	1202590843	0.010000000000000000	4576918229304087675
140539e28	9a9999999999a93f	-1.5881868392106856e-23	-1717986918	0.050000000000000000	4587366580439587226
140539e60	9a9999999999b93f	-1.5881868392106856e-23	-1717986918	0.10000000000000000	4591870180066957722
140539f00	000000000000e03f	0.0000000000000000	0	0.50000000000000000	4602678819172646912
140539f40	000000000000f03f	0.0000000000000000	0	1.0000000000000000	4607182418800017408
140539f68	333333333333f33f	4.1723250632230700e-08	858993459	1.2000000000000000	4608083138725491507
14053a018	0000000000000840	0.0000000000000000	0	3.0000000000000000	4613937818241073152
14053a020	112d4454fb210940	3370278715392.0000	1413754129	3.1415926535897900	4614256656552045841
14053a040	0000000000000c40	0.0000000000000000	0	3.5000000000000000	4615063718147915776
14053a070	0000000000001040	0.0000000000000000	0	4.0000000000000000	4616189618054758400
14053a088	0000000000001240	0.0000000000000000	0	4.5000000000000000	4616752568008179712
14053a0b0	0000000000001440	0.0000000000000000	0	5.0000000000000000	4617315517961601024
14053a0d0	0000000000001640	0.0000000000000000	0	5.5000000000000000	4617878467915022336
14053a0f8	0000000000001840	0.0000000000000000	0	6.0000000000000000	4618441417868443648
14053a158	0000000000001e40	0.0000000000000000	0	7.5000000000000000	4620130267728707584
14053a1c8	0000000000002340	0.0000000000000000	0	9.5000000000000000	4621537642612260864
14053a3a0	0000000000004e40	0.0000000000000000	0	60.000000000000000	4633641066610819072
14053a558	176cc1166cc16640	3.1249045965716460e-25	381774871	182.04444444444445	4640609136034278423
14053a5f8	0000000000e06f40	0.0000000000000000	0	255.00000000000000	4643176031446892544
14053a6d0	0000000000007940	0.0000000000000000	0	400.00000000000000	4645744490609377280
14053a700	0000000000c07b40	0.0000000000000000	0	444.00000000000000	4646518546795331584
14053a708	0000000000207c40	0.0000000000000000	0	450.00000000000000	4646624099911598080
14053a740	1e1e1e1e1e1e7e40	8.3706784425373720e-21	505290270	481.88235294117646	4647184980196072990
14053a768	0000000000f07f40	0.0000000000000000	0	511.00000000000000	4647697223260307456
14053a798	1111111111118140	1.1443742118159064e-28	286331153	546.13333333333330	4648015055421509905
14053a840	0000000000e08540	0.0000000000000000	0	700.00000000000000	4649368480934526976
14053a870	0000000000488840	0.0000000000000000	0	777.00000000000000	4650045780097236992
14053a8b8	0000000000208c40	0.0000000000000000	0	900.00000000000000	4651127699538968576
14053a8e8	081f7cf0c1078f40	-3.1211094781727550e+29	-260301048	992.96969696969700	4651945469641760520
14053aa20	0000a04000000000	5.0000000000000000	1084227584	5.3567960150000000e-315	1084227584
14053ab70	0000c04000000000	6.0000000000000000	1086324736	5.3671573230000000e-315	1086324736
14053aba0	89c8c96d305fc440	7.8061148877776800e+27	1841940617	10430.378350470464	4666959775467686025
14053ac2c	0000204133333341	10.000000000000000	1092616192	1258291.2543945312	4698155131506524160
14053ac60	0000c8410000cc41	25.000000000000000	1103626240	939524227.56250000	4741164508817915904
14053ace8	00008c4200009042	70.000000000000000	1116471296	4398047601408.0000	4796333604266049536
14053ad10	0000b4420000be42	90.000000000000000	1119092736	32985353204736.000	4809281453197361152
14053ad1c	0000c8420000cc42	100.00000000000000	1120403456	61572659908608.000	4813222102872621056
14053ad3c	0000ea420000f042	117.00000000000000	1122631680	281475046875136.00	4823355202036432896
14053ad70	0000164300001943	150.00000000000000	1125515264	1759218885820416.0	4834895676084453376
14053ad80	0000204300002443	160.00000000000000	1126170624	2814750330191872.0	4837991900828925952
14053ad90	00002a4300002f43	170.00000000000000	1126825984	4362862702428160.0	4841088125573398528
14053adc4	00005c4300005e43	220.00000000000000	1130102784	33777001725689856	4854317449482076160
14053add4	0000664300006843	230.00000000000000	1130758144	54043204574511100	4857132199249838080
14053ae30	0000b4430080b643	360.00000000000000	1135869952	1.6212961566360863e+18	4879227984926736384
14053ae48	0000c8430000cd43	400.00000000000000	1137180672	4.1793410364363244e+18	4885561171904036864
14053afb0	00007a4400807c44	1000.0000000000000	1148846080	8.4117165022639830e+21	4934960030328422400
14053afd4	00008c4400c08f44	1120.0000000000000	1150025728	1.8741894390667660e+22	4940378423631282176
14053b278	0000000000e085c0	0.0000000000000000	0	-700.00000000000000	-4574003555920248832
14053b34c	000020c2000034c2	-40.000000000000000	-1038090240	-85899395616.000000	-4452934128305700864
14053b390	0000f0c20000f6c2	-120.00000000000000	-1024458752	-387028297383936.00	-4398327982810202112
14053b404	0000c8c30000f0c3	-400.00000000000000	-1010302976	-1.8446757527694606e+19	-4327959238618382336
14053bb20	000000000000f03f	0.0000000000000000	0	1.0000000000000000	4607182418800017408
