address	raw_le	float32	int32	double64	int64
140539d28	000000000000003f	0.0000000000000000	0	3.0517578125000000e-05	4539628424389459968
140539ee0	333333333333d33f	4.1723250632230700e-08	858993459	0.30000000000000000	4599075939470750515
140539f18	666666666666e63f	2.7200830220753216e+23	1717986918	0.70000000000000000	4604480259023595110
14053a020	112d4454fb210940	3370278715392.0000	1413754129	3.1415926535897900	4614256656552045841
14053a178	0000000000002040	0.0000000000000000	0	8.0000000000000000	4620693217682128896
14053a628	1111111111117140	1.1443742118159064e-28	286331153	273.06666666666666	4643511455794139409
14053a798	1111111111118140	1.1443742118159064e-28	286331153	546.13333333333330	4648015055421509905
14053a890	9a99999999998940	-1.5881868392106856e-23	-1717986918	819.20000000000000	4650416975222774170
14053a970	0000000000009440	0.0000000000000000	0	1280.0000000000000	4653344314980564992
14053a998	5555555555559540	14660154687488.000	1431655765	1365.3333333333333	4653719614949512533
14053aa18	0000000000409f40	0.0000000000000000	0	2000.0000000000000	4656510908468559872
14053aa78	000000000070a740	0.0000000000000000	0	3000.0000000000000	4658815484840378368
14053ab08	555555555555b540	14660154687488.000	1431655765	5461.3333333333330	4662726814204253525
14053ac34	00004041cdcc4c41	12.000000000000000	1094713344	3774874.5097656250	4705360892630401024
14053ac5c	0000c0410000c841	24.000000000000000	1103101952	805306499.50000000	4740038608910548992
14053ac80	0000f04100000000	30.000000000000000	1106247680	5.4655897450000000e-315	1106247680
14053aca8	0000204200002842	40.000000000000000	1109393408	51539616016.000000	4767060206681063424
14053acbc	0000484200005042	50.000000000000000	1112014848	274877974816.00000	4778319205752111104
14053ad10	0000b4420000be42	90.000000000000000	1119092736	32985353204736.000	4809281453197361152
14053ad2c	0000dc420000e242	110.00000000000000	1121714176	158329709453312.00	4819414552361566208
14053ad50	0000024300000443	130.00000000000000	1124204544	703687582302208.00	4828984701572218880
14053adb4	0000484300004d43	200.00000000000000	1128792064	16325550906802176	4849532374876684288
14053ade0	0000704300007543	240.00000000000000	1131413504	94575610277396480	4860791373947731968
14053adf4	0000824300008343	260.00000000000000	1132593152	1.7113682208305970e+17	4864732023622860800
14053aedc	0000204400802244	640.00000000000000	1142947840	1.7063242013392817e+20	4909627282418565120
14053aef0	00c0284400002a44	675.00000000000000	1143521280	2.3980771042912947e+20	4911738344744468480
14053aef8	00402b4400802c44	685.00000000000000	1143685120	2.6286614052663512e+20	4912442032186408960
14053af00	00c02d4400002f44	695.00000000000000	1143848960	2.8592457062414077e+20	4913145719628349440
14053af10	00c0324400003444	715.00000000000000	1144176640	3.6893495645895130e+20	4914553094512230400
14053af50	00c04b4400004d44	815.00000000000000	1145815040	1.0699113064594229e+21	4921589968931635200
14053af84	00c0644400006644	915.00000000000000	1147453440	3.2466275585689500e+21	4928626843351040000
14053af90	00c0694400006b44	935.00000000000000	1147781120	3.9844973216891310e+21	4930034218234920960
14053af98	00406c4400c06e44	945.00000000000000	1147944960	4.5378996439863170e+21	4931089749397749760
14053af9c	00c06e4400007044	955.00000000000000	1148108800	4.7223676867489780e+21	4931441593118801920
14053afe4	0000964400409744	1200.0000000000000	1150681088	2.7448760007986103e+22	4942489485957267456
14053b00c	0000a04400c0a344	1280.0000000000000	1151336448	4.6633378676447885e+22	4946007923166806016
14053b160	00000000000050c0	0.0000000000000000	0	-64.000000000000000	-4589168020290535424
14053b2b8	00000000000094c0	0.0000000000000000	0	-1280.0000000000000	-4570027721874210816
14053baa0	a4703d0ad7a3c03f	9.1212043341673840e-33	171798692	0.13000000000000000	4593851763903000740
14053baa8	a4703d0ad7a3c03f	9.1212043341673840e-33	171798692	0.13000000000000000	4593851763903000740
