address	value
1404ad070	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxChar.cpp
1404ad0d8	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxInputString.cpp
1404ad1d0	  BufSize:%d\n
1404ad240	Mask
1404ad250	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxMask.cpp
1404ad390	SoftImage
1404ad3a8	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxModel.cpp
1404ad3d8	ModelBase
1404ad3f0	Model
1404ad460	Live2DModel
1404ad478	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxLive2DCubism4.cpp
1404ad4b0	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxMemImg.cpp
1404ad4f0	d3dx9_50.dll
1404ad500	d3dx9_49.dll
1404ad510	d3dx9_48.dll
1404ad520	d3dx9_47.dll
1404ad530	d3dx9_46.dll
1404ad540	d3dx9_45.dll
1404ad550	d3dx9_44.dll
1404ad560	d3dx9_43.dll
1404ad570	d3dx9_42.dll
1404ad580	d3dx9_41.dll
1404ad590	d3dx9_40.dll
1404ad5a0	d3dx9_39.dll
1404ad5b0	d3dx9_38.dll
1404ad5c0	d3dx9_37.dll
1404ad5d0	d3dx9_36.dll
1404ad5e0	d3dx9_35.dll
1404ad5f0	d3dx9_34.dll
1404ad600	d3dx9_33.dll
1404ad610	d3dx9_32.dll
1404ad620	d3dx9_31.dll
1404ad630	d3dx9_30.dll
1404ad640	d3dx9_29.dll
1404ad650	d3dx9_28.dll
1404ad660	d3dx9_27.dll
1404ad670	d3dx9_26.dll
1404ad680	d3dx9_25.dll
1404ad690	d3dx9_24.dll
1404ad6a0	D3DCompiler_47.dll
1404ad6b8	D3DCompiler_46.dll
1404ad6d0	D3DCompiler_45.dll
1404ad6e8	D3DCompiler_44.dll
1404ad700	D3DCompiler_43.dll
1404ad718	D3DCompiler_42.dll
1404ad730	D3DCompiler_41.dll
1404ad748	D3DCompiler_40.dll
1404ad760	D3DCompiler_39.dll
1404ad778	D3DCompiler_38.dll
1404ad790	D3DCompiler_37.dll
1404ad7a8	D3DCompiler_36.dll
1404ad7c0	D3DCompiler_35.dll
1404ad7d8	D3DCompiler_34.dll
1404ad7f0	D3DCompiler_33.dll
1404ad808	ws2_32.dll
1404ad818	WSAGetLastError
1404ad828	WSAStartup
1404ad838	WSACleanup
1404ad848	WSAAsyncSelect
1404ad858	getaddrinfo
1404ad868	freeaddrinfo
1404ad878	gethostbyaddr
1404ad888	gethostbyname
1404ad898	gethostname
1404ad8a4	ntohs
1404ad8ac	htons
1404ad8b8	connect
1404ad8c0	socket
1404ad8d0	sendto
1404ad8d8	recvfrom
1404ad8e4	accept
1404ad8f0	closesocket
1404ad900	shutdown
1404ad90c	listen
1404ad920	inet_addr
1404ad938	setsockopt
1404ad948	Imm32.dll
1404ad958	ImmAssociateContext
1404ad970	ImmGetContext
1404ad980	ImmReleaseContext
1404ad998	ImmGetOpenStatus
1404ad9b0	ImmGetConversionStatus
1404ad9c8	ImmNotifyIME
1404ad9d8	ImmSetOpenStatus
1404ad9f0	ImmGetCandidateListW
1404ada08	ImmGetCandidateListCountW
1404ada28	ImmGetCompositionStringW
1404ada48	ImmSetCompositionStringW
