address	raw_le	float32	int32	double64	int64
14053c5a0	2effffff2effffff	NaN	-210	NaN	-897648165074
14053c5a4	2effffff01000000	NaN	-210	4.2439914780000000e-314	8589934382
14053c5a8	010000004cffffff	1.4012984643248170e-45	1	NaN	-773094113279
14053c5ac	4cffffff40010000	NaN	-180	6.8116064881100000e-312	1378684501836
14053c5b0	4001000000000000	4.4841550858394150e-43	320	1.5800000000000000e-321	320
14053c5b4	0000000000000000	0.0000000000000000	0	0.0000000000000000	0
14053b890	2c0100002c010000	4.2038953929744510e-43	300	6.3659873743800000e-312	1288490189100
14053b894	2c0100002c010000	4.2038953929744510e-43	300	6.3659873743800000e-312	1288490189100
14053b898	2c01000096000000	4.2038953929744510e-43	300	3.1829936879300000e-312	644245094700
14053b89c	9600000040000000	2.1019476964872256e-43	150	1.3580773069600000e-312	274877907094
14053b8a0	4000000040000000	8.9683101716788300e-44	64	1.3580773065340000e-312	274877907008
14053b8a4	4000000040000000	8.9683101716788300e-44	64	1.3580773065340000e-312	274877907008
14053ac60	0000c8410000cc41	25.000000000000000	1103626240	939524227.56250000	4741164508817915904
14053acbc	0000484200005042	50.000000000000000	1112014848	274877974816.00000	4778319205752111104
14053a3e8	0000000000c05240	0.0000000000000000	0	75.000000000000000	4634978072750194688
14053a5f0	0000000000406f40	0.0000000000000000	0	250.00000000000000	4643000109586448384
14053ad40	0000f0420000f442	120.00000000000000	1123024896	351843791077376.00	4824481101943668736
14053ae30	0000b4430080b643	360.00000000000000	1135869952	1.6212961566360863e+18	4879227984926736384
14053b408	0000f0c30000fac3	-480.00000000000000	-1007681536	-2.9975972584500494e+19	-4325144488848654336
14053a4a0	0000000000005e40	0.0000000000000000	0	120.00000000000000	4638144666238189568
14053a510	0000000000c06240	0.0000000000000000	0	150.00000000000000	4639481672377565184
